Unnamed: 0,atletas.pontos_num,atletas.clube_id,atletas.posicao_id,atletas.media_num,atletas.entrou_em_campo,atletas.atleta_id,atletas.preco_num,atletas.foto,atletas.apelido_abreviado,atletas.status_id,atletas.slug,atletas.rodada_id,atletas.clube.id.full.name,atletas.variacao_num,atletas.nome,atletas.jogos_num,atletas.apelido,CA,DS,FC,FF,FS,G,I,A,FD,PS,FT,SG,V,CV,DE,DP,GS,PC,PP,GC,posicao_nome,ranking_rodada,percentil_pontuacao,classificacao_desempenho,destaque_rodada
187,0.0,267,5,4.08,True,90309,6.41,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,David,6,david,22,VAS,-0.08,David Correa da Fonseca,8,David,1.0,5.0,5.0,1.0,3.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,Atacante,275,12.65,Regular,False
188,4.0,356,4,2.41,True,90370,5.16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,M. Pereira,7,matheus-pereira,22,FOR,0.35,Matheus Pereira da Silva,7,Matheus Pereira,2.0,5.0,7.0,1.0,3.0,,,2.0,1.0,,,,,,,,,,,,Meia,134,59.64,Regular,False
189,2.7,265,4,1.9,True,90449,3.76,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Rezende,6,rezende,22,BAH,0.46,Júlio César de Rezende Miranda,3,Rezende,,3.0,6.0,,6.0,,,,,,,,,,,,,,,,Meia,170,48.95,Regular,False
190,0.0,284,4,0.0,False,90532,10.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,A. Melo,6,arthur-melo,22,GRE,0.0,Arthur Henrique Ramos de Oliveira Melo,0,Arthur Melo,,,,,,,,,,,,,,,,,,,,,Meia,0,0.0,Não Jogou,False
191,-0.2,286,4,1.98,True,90588,3.78,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Caíque,7,caique,22,JUV,-0.16,Caique de Jesus Gonçalves,13,Caíque,5.0,20.0,27.0,1.0,18.0,,,,,,,,,,,,,1.0,,,Meia,308,7.38,Ruim,False
192,7.7,2305,5,5.55,True,90608,8.99,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,C. Costa,7,chico-da-costa,22,MIR,1.2,Francisco da Costa Aragão,9,Chico da Costa,,2.0,8.0,5.0,9.0,5.0,4.0,,1.0,,,,,,,,,,,,Atacante,50,84.94,Bom,False
193,-0.3,287,4,4.32,True,90703,9.4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Matheuzinho,6,matheuzinho,22,VIT,-1.13,Matheus Martins Fogaça de Paulo,14,Matheuzinho,3.0,17.0,11.0,2.0,35.0,2.0,2.0,,8.0,,,,,1.0,,,,,,,Meia,310,5.87,Ruim,False
194,4.4,283,3,4.91,True,90768,8.62,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,F. Bruno,7,fabricio-bruno,22,CRU,0.41,Fabrício Bruno Soares de Faria,21,Fabrício Bruno,4.0,23.0,13.0,3.0,14.0,2.0,,,1.0,,,10.0,,,,,,,,,Zagueiro,118,63.86,Regular,False
195,6.6,2305,5,2.63,True,90917,4.82,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,C. Eduardo,6,carlos-eduardo,22,MIR,1.1,Carlos Eduardo Ferreira de Souza,9,Carlos Eduardo,1.0,3.0,6.0,1.0,8.0,,2.0,3.0,2.0,,,,,,,,,,,,Atacante,73,78.31,Bom,False
196,0.0,287,3,1.75,False,90943,3.07,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Z. Marcos,6,ze-marcos,22,VIT,0.0,José Marcos Alves Luis,17,Zé Marcos,3.0,8.0,14.0,,10.0,,1.0,,,,,4.0,,,,,,,,,Zagueiro,0,0.0,Não Jogou,False
197,1.5,265,1,4.45,True,91101,5.92,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Ronaldo,7,ronaldo,22,BAH,-0.91,Ronaldo de Oliveira Strada,10,Ronaldo,,,,,3.0,,,,,,,3.0,,,27.0,1.0,13.0,1.0,,,Goleiro,211,35.54,Regular,False
198,0.0,354,5,3.48,False,91130,6.11,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Fernandinho,5,fernandinho,22,CEA,0.0,Fernando José Marques Maciel,6,Fernandinho,1.0,8.0,4.0,4.0,4.0,,3.0,1.0,1.0,,,,,,,,,,,,Atacante,0,0.0,Não Jogou,False
199,3.0,263,3,5.77,True,91158,9.43,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Kaio,7,kaio,22,BOT,-0.04,Kaio Fernando da Silva Pantaleão,6,Kaio,,7.0,5.0,4.0,10.0,,,,2.0,,,3.0,,,,,,,,,Zagueiro,162,51.36,Regular,False
200,0.8,354,3,0.8,True,91203,2.82,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Éder,7,eder,22,CEA,-0.08,Éder Ferreira Graminho,2,Éder,,,3.0,1.0,1.0,,,,1.0,,,,,,,,,,,,Zagueiro,241,25.9,Regular,False
201,0.0,262,4,2.89,False,91473,6.34,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,E. Pulgar,5,erick-pulgar,22,FLA,0.0,Erick Antonio Pulgar Farfán,9,Erick Pulgar,2.0,12.0,13.0,,7.0,1.0,,,2.0,,,,,,,,,,,,Meia,0,0.0,Não Jogou,False
202,0.0,286,3,2.04,False,91509,4.25,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,R. Sam,5,rodrigo-sam,22,JUV,0.0,Rodrigo Eduardo da Silva,5,Rodrigo Sam,2.0,8.0,8.0,1.0,4.0,,2.0,,,,,,,,,,,,,,Zagueiro,0,0.0,Não Jogou,False
203,0.0,276,3,5.9,False,91573,10.16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Arboleda,5,arboleda,22,SAO,0.0,Robert Abel Arboleda Escobar,13,Arboleda,2.0,20.0,9.0,5.0,7.0,3.0,2.0,,,,,4.0,,,,,,,,,Zagueiro,0,0.0,Não Jogou,False
204,0.0,282,5,4.25,True,91607,9.61,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Rony,6,rony,22,CAM,-0.22,Ronielson da Silva Barbosa,19,Rony,3.0,15.0,34.0,11.0,34.0,3.0,15.0,,16.0,1.0,1.0,,,,,,,,,,Atacante,275,12.65,Regular,False
205,0.0,286,4,0.0,False,91627,3.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,D. Vieira,6,dudu-vieira,22,JUV,0.0,Carlos Eduardo de Souza Vieira,0,Dudu Vieira,,,,,,,,,,,,,,,,,,,,,Meia,0,0.0,Não Jogou,False
206,0.0,292,2,4.97,False,91639,8.06,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,I. Cariús,5,igor-carius,22,SPT,0.0,Igor Aquino da Silva,15,Igor Cariús,1.0,31.0,17.0,4.0,19.0,,5.0,,5.0,,,4.0,,,,,,1.0,,1.0,Lateral,0,0.0,Não Jogou,False
207,8.8,284,2,5.49,True,91706,8.41,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Marlon,7,marlon,22,GRE,0.49,Marlon Rodrigues Xavier,15,Marlon,2.0,36.0,15.0,2.0,14.0,,,1.0,1.0,,,4.0,,,,,,,,,Lateral,39,88.55,Bom,False
208,1.5,265,3,3.08,True,91772,4.98,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,D. Duarte,7,david-duarte,22,BAH,-0.58,David de Duarte Macedo,17,David Duarte,2.0,8.0,12.0,6.0,8.0,,1.0,,2.0,,,7.0,,,,,,,,,Zagueiro,211,35.54,Regular,False
209,0.0,292,1,3.52,False,91808,6.53,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,C. França,6,caique-franca,22,SPT,0.0,Caíque França Godoy,12,Caíque França,2.0,2.0,,,1.0,,,,,,,2.0,,,39.0,,20.0,,,,Goleiro,0,0.0,Não Jogou,False
210,7.0,277,3,4.37,True,91866,7.35,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Z. Ivaldo,7,ze-ivaldo,22,SAN,0.46,José Ivaldo Almeida Silva,13,Zé Ivaldo,4.0,20.0,13.0,10.0,10.0,1.0,3.0,,,,,3.0,,,,,,1.0,,,Zagueiro,66,80.27,Bom,False
211,0.8,284,5,2.56,True,91908,4.83,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Pavón,6,pavon,22,GRE,-0.55,Cristian David Pavón,11,Pavón,4.0,10.0,6.0,5.0,8.0,,,1.0,5.0,,,,,,,,,,,,Atacante,241,25.9,Regular,False
212,0.0,286,5,1.72,False,92085,3.2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Giovanny,6,giovanny,22,JUV,0.0,Giovanny Bariani Marques,10,Giovanny,,3.0,4.0,5.0,10.0,,1.0,1.0,,,,,,,,,,,,,Atacante,0,0.0,Não Jogou,False
213,0.0,282,3,5.46,False,92087,8.86,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Lyanco,5,lyanco,22,CAM,0.0,Lyanco Evangelista Silveira Neves Vojnovic,12,Lyanco,4.0,28.0,22.0,4.0,17.0,,2.0,,3.0,,,5.0,,2.0,,,,,,,Zagueiro,0,0.0,Não Jogou,False
214,5.7,263,5,7.11,True,92171,13.26,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,A. Cabral,7,arthur-cabral,22,BOT,-0.28,Arthur Mendonça Cabral,8,Arthur Cabral,,6.0,10.0,7.0,13.0,3.0,2.0,1.0,5.0,1.0,1.0,,,,,,,,,,Atacante,92,72.44,Bom,False
215,3.2,285,3,2.72,True,92182,4.62,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Juninho,7,juninho,22,INT,0.31,José Carlos Ferreira Júnior,9,Juninho,2.0,12.0,4.0,6.0,5.0,,,,2.0,,,,,,,,,,,,Zagueiro,153,53.61,Regular,False
216,0.0,284,3,0.6,False,92237,4.75,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,R. Ely,5,rodrigo-ely,22,GRE,0.0,Rodrigo Ely,2,Rodrigo Ely,,1.0,1.0,,,,,,,,,,,,,,,,,,Zagueiro,0,0.0,Não Jogou,False
217,2.0,264,3,3.43,True,92440,5.93,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,A. Ramalho,7,andre-ramalho,22,COR,0.01,André Ramalho Silva,16,André Ramalho,4.0,21.0,18.0,7.0,6.0,,,,,,,5.0,,,,,,1.0,,,Zagueiro,190,42.02,Regular,False
218,3.7,287,5,5.89,True,92696,9.85,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,R. Kayzer,7,renato-kayzer,22,VIT,0.22,Renato Kayzer de Souza,15,Renato Kayzer,1.0,6.0,21.0,8.0,30.0,7.0,9.0,,6.0,,1.0,,,,,,,,,,Atacante,144,56.78,Regular,False
219,4.81,292,6,4.96,True,92702,8.08,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,D. Paulista,7,daniel-paulista,22,SPT,0.42,Daniel Pollo Barioni,9,Daniel Paulista,,,,,,,,,,,,,1.0,,,,,,,,Técnico,110,67.17,Regular,False
220,0.0,356,5,3.04,False,92708,5.47,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Deyverson,6,deyverson,22,FOR,0.0,Deyverson Brum Silva Acosta,14,Deyverson,1.0,4.0,12.0,11.0,14.0,2.0,3.0,,3.0,,2.0,,,,,,,,,,Atacante,0,0.0,Não Jogou,False
221,0.0,275,5,0.0,False,92811,6.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,B. Rodrigues,6,bruno-rodrigues,22,PAL,0.0,Bruno Rafael Rodrigues do Nascimento,0,Bruno Rodrigues,,,,,,,,,,,,,,,,,,,,,Atacante,0,0.0,Não Jogou,False
222,0.0,285,5,3.86,False,92854,9.38,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Borré,3,borre,22,INT,0.0,Rafael Santos Borré Maury,16,Borré,1.0,11.0,19.0,9.0,5.0,4.0,5.0,1.0,5.0,,1.0,,,1.0,,,,,,,Atacante,0,0.0,Não Jogou,False
223,0.0,285,4,1.95,False,92981,4.2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Ronaldo,5,ronaldo,22,INT,0.0,Ronaldo da Silva Souza Guerrero,11,Ronaldo,3.0,19.0,20.0,2.0,2.0,,2.0,,2.0,,,,,1.0,,,,,,,Meia,0,0.0,Não Jogou,False
224,0.0,354,2,3.62,False,93236,5.29,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,R. Ramos,6,rafael-ramos,22,CEA,0.0,Rafael António Figueiredo Ramos,13,Rafael Ramos,2.0,16.0,15.0,3.0,2.0,,,,1.0,,,5.0,,,,,,,,,Lateral,0,0.0,Não Jogou,False
225,0.0,277,3,4.42,False,93372,7.74,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,J. Basso,6,joao-basso,22,SAN,0.0,João Othávio Basso,6,João Basso,2.0,7.0,10.0,,6.0,1.0,,,,,,2.0,,,,,,,,,Zagueiro,0,0.0,Não Jogou,False
226,3.0,287,5,3.4,True,93411,5.78,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Cantalapiedra,7,cantalapiedra,22,VIT,0.18,Aitor Cantalapiedra Fernández,4,Cantalapiedra,,2.0,1.0,2.0,4.0,,1.0,1.0,2.0,,,,,,,,,,,,Atacante,162,51.36,Regular,False
227,1.7,283,5,2.17,True,93478,5.06,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Wanderson,7,wanderson,22,CRU,-0.76,Wanderson Maciel Sousa Campos,21,Wanderson,2.0,9.0,24.0,15.0,12.0,,6.0,2.0,9.0,,1.0,,,,,,,,,,Atacante,203,38.55,Regular,False
228,0.0,267,2,7.65,False,93716,13.13,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,P. Henrique,6,paulo-henrique,22,VAS,0.0,Paulo Henrique de Oliveira Alves,14,Paulo Henrique,6.0,48.0,32.0,4.0,9.0,,1.0,3.0,6.0,,2.0,3.0,,,,,,,,,Lateral,0,0.0,Não Jogou,False
229,0.0,263,4,2.33,True,93790,5.17,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,M. Freitas,6,marlon-freitas,22,BOT,-0.39,Marlon Rodrigues Freitas,17,Marlon Freitas,3.0,13.0,19.0,7.0,7.0,,,3.0,4.0,,,,,,,,,,,,Meia,275,12.65,Regular,False
230,0.0,354,1,0.0,False,93834,3.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Keiller,6,keiller,22,CEA,0.0,Keiller da Silva Nunes,0,Keiller,,,,,,,,,,,,,,,,,,,,,Goleiro,0,0.0,Não Jogou,False
231,0.4,280,1,4.28,True,93882,7.08,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,Cleiton,7,cleiton,22,RBB,-0.4,Cleiton Schwengber,19,Cleiton,4.0,,,,5.0,,,,,,,5.0,,,66.0,,28.0,,,,Goleiro,264,20.03,Regular,False
232,4.3,292,4,5.23,True,93886,7.74,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Matheusinho,7,matheusinho,22,SPT,0.02,Matheus Leonardo Sales Cardoso,8,Matheusinho,,9.0,6.0,6.0,10.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,Meia,126,62.35,Regular,False
233,1.2,356,5,3.8,True,93988,6.58,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,B. Lopes,7,breno-lopes,22,FOR,-0.88,Breno Henrique Vasconcelos Lopes,13,Breno Lopes,2.0,3.0,7.0,9.0,22.0,3.0,10.0,,4.0,,1.0,,,,,,,,,,Atacante,226,31.33,Regular,False
234,0.0,263,1,6.11,False,94044,10.88,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,John,6,john,22,BOT,0.0,John Victor Maciel Furtado,16,John,2.0,1.0,1.0,,3.0,,,,,,,9.0,,,47.0,,9.0,,,,Goleiro,0,0.0,Não Jogou,False
235,0.0,280,4,2.02,False,94067,4.46,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,M. Fernandes,6,matheus-fernandes,22,RBB,0.0,Matheus Fernandes Siqueira,9,Matheus Fernandes,1.0,13.0,7.0,1.0,2.0,,,,,,,,,,,,,,,,Meia,0,0.0,Não Jogou,False
236,2.2,264,4,2.08,True,94154,4.02,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Maycon,7,maycon,22,COR,-0.94,Maycon de Andrade Barberan,13,Maycon,,11.0,6.0,3.0,4.0,1.0,,,,,,,,,,,,,,,Meia,183,44.58,Regular,False
237,0.8,277,5,6.87,True,94207,9.4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Guilherme,7,guilherme,22,SAN,-0.96,Guilherme Augusto Vieira dos Santos,15,Guilherme,,26.0,7.0,14.0,27.0,3.0,10.0,2.0,7.0,,,,,,,,,,,,Atacante,241,25.9,Regular,False
238,2.9,286,5,1.96,True,94444,3.96,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,M. Babi,6,matheus-babi,22,JUV,0.47,Matheus Barcelos da Silva,12,Matheus Babi,4.0,6.0,13.0,3.0,9.0,2.0,4.0,,,,,,,,,,,,,,Atacante,164,50.6,Regular,False
239,0.0,275,4,2.25,False,94509,10.89,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,R. Veiga,6,raphael-veiga,22,PAL,0.0,Raphael Cavalcante Veiga,10,Raphael Veiga,,4.0,9.0,4.0,15.0,,,1.0,2.0,1.0,,,,,,,,,,,Meia,0,0.0,Não Jogou,False
240,0.0,267,3,2.5,True,94514,4.79,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,L. Oliveira,6,lucas-oliveira,22,VAS,-0.77,Lucas da Cruz Oliveira,2,Lucas Oliveira,,,,,,,,,,,,1.0,,,,,,,,,Zagueiro,275,12.65,Regular,False
241,9.1,262,5,8.48,True,94583,17.55,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Pedro,7,pedro,22,FLA,-2.54,Pedro Guilherme Abreu dos Santos,15,Pedro,3.0,8.0,9.0,2.0,8.0,10.0,1.0,4.0,13.0,1.0,1.0,,,,,,,,1.0,,Atacante,35,89.76,Bom,False
242,0.0,286,4,3.0,False,94931,5.77,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,L. Fernandes,5,lucas-fernandes,22,JUV,0.0,Lucas Fernandes da Silva,1,Lucas Fernandes,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,Meia,0,0.0,Não Jogou,False
243,0.0,280,2,8.26,False,94968,11.57,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,J. Capixaba,5,juninho-capixaba,22,RBB,0.0,Luis Antônio da Rocha Júnior,12,Juninho Capixaba,1.0,29.0,17.0,7.0,27.0,1.0,1.0,,4.0,,,6.0,,,,,,,,,Lateral,0,0.0,Não Jogou,False
244,0.0,263,3,0.0,False,95106,3.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,G. Bahia,6,gabriel-bahia,22,BOT,0.0,Gabriel Henrique Feitosa da Silva,0,Gabriel Bahia,,,,,,,,,,,,,,,,,,,,,Zagueiro,0,0.0,Não Jogou,False
245,2.2,354,2,2.98,True,95127,5.27,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Nicolas,7,nicolas,22,CEA,-0.68,Nicolas Vecchiato da Silva - Vichiatto / Vechiatto,9,Nicolas,1.0,7.0,8.0,2.0,4.0,,,,1.0,,,3.0,,,,,,,,,Lateral,183,44.58,Regular,False
246,2.0,286,5,4.54,True,95131,8.2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,G. Taliari,7,gabriel-taliari,22,JUV,-0.27,Gabriel Pereira Taliari,18,Gabriel Taliari,1.0,15.0,24.0,9.0,29.0,3.0,3.0,2.0,5.0,,2.0,,,,,,,,,,Atacante,190,42.02,Regular,False
247,-1.9,286,4,0.37,True,95354,1.74,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Giraldo,6,giraldo,22,JUV,-0.36,Daniel Eduardo Giraldo Cárdenas,12,Giraldo,3.0,6.0,15.0,2.0,3.0,,1.0,,,,,,,,,,,,,,Meia,332,0.3,Ruim,False
248,-0.7,292,4,2.69,True,95357,4.35,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Rivera,7,rivera,22,SPT,-0.18,Christian Hernando Rivera Cuéllar,18,Rivera,5.0,38.0,46.0,,21.0,,2.0,,,,,,,,,,,,,,Meia,324,2.71,Ruim,False
249,8.0,277,2,3.24,True,95466,7.25,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,I. Vinícius,6,igor-vinicius,22,SAN,1.36,Igor Vinícius de Souza,9,Igor Vinícius,2.0,10.0,8.0,3.0,5.0,,,,3.0,,,2.0,,,,,,,,,Lateral,45,86.45,Bom,False
250,1.7,264,4,3.54,True,95556,5.77,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Raniele,7,raniele,22,COR,-0.49,Raniele Almeida Melo,18,Raniele,4.0,31.0,21.0,4.0,29.0,,,1.0,4.0,,,,,,,,,,,,Meia,203,38.55,Regular,False
251,0.0,292,4,0.0,False,95662,5.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,L. Kal,6,lucas-kal,22,SPT,0.0,Lucas Kal Schenfeld Prigioli,0,Lucas Kal,,,,,,,,,,,,,,,,,,,,,Meia,0,0.0,Não Jogou,False
252,6.2,263,5,4.72,True,95799,9.43,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Artur,6,artur,22,BOT,0.57,Artur Victor Guimarães,15,Artur,1.0,8.0,8.0,10.0,16.0,2.0,1.0,4.0,6.0,,1.0,,,,,,,,,,Atacante,83,75.0,Bom,False
253,0.0,267,1,-0.7,False,95936,2.04,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,D. Fuzato,6,daniel-fuzato,22,VAS,0.0,Daniel Cerântula Fuzato,2,Daniel Fuzato,,,,,,,,,,,,,,,2.0,,4.0,,,,Goleiro,0,0.0,Não Jogou,False
254,0.0,266,4,1.97,False,96340,4.68,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Lima,6,lima,22,FLU,0.0,Vinícius Moreira de Lima,14,Lima,2.0,4.0,12.0,6.0,18.0,1.0,1.0,,2.0,,1.0,,,,,,,,,,Meia,0,0.0,Não Jogou,False
255,-0.4,264,4,1.49,True,96342,2.96,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Charles,7,charles,22,COR,-1.15,Charles Rigon Mattos,11,Charles,2.0,15.0,17.0,,2.0,,2.0,,1.0,,,,,,,,,1.0,,,Meia,318,4.07,Ruim,False
